"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","MD",5,"PORT REPUBLIC","REP",49219.79,42132.3,26900,22319.79,"No"
"S","GA",0,"ATLANTA","DEM",4912063,4772457,1694919,511797,"No"
"H","TX",27,"CORPUS CHRISTI","DEM",22558.99,20852.64,2382.46,19411.53,"No"
"H","TX",18,"HOUSTON","REP",33772.87,34366.17,102791.61,29593.87,"No"
"H","VA",10,"MCLEAN","DEM",2211534.46,2128900.61,90000,2121534.46,"No"
"H","SC",2,"COLUMBIA","DEM",62337.64,53424.21,5000,62237.64,"No"
"H","WA",6,"TACOMA","REP",11056,6702,2622,8435,"No"
"H","AL",5,"FLORENCE","DEM",55906.93,54923.85,2893.2,52983.73,"No"
"H","TX",2,"HOUSTON","DEM",14181.94,13548.18,11323.2,120,"No"
"H","NC",11,"BRYSON CITY","DEM",43090,30278.11,11550,29580,"No"
"H","CA",25,"VALENCIA","DEM",1353620.83,1273383.33,63383.51,1319070.1,"No"
"H","NY",1,"EAST SETAUKET","OTH",1700582.01,1509795.77,250000,1425207.08,"No"
"H","NC",9,"CHARLOTTE","DEM",46139.31,44240.58,32046.32,19546.27,"No"
"H","TX",7,"HOUSTON","DEM",36234.56,34603.56,10750,36234.56,"No"
"S","CT",0,"BETHEL","REP",364634,317794,23656,344634,"No"
"H","MA",9,"NORWELL","NPA",7839.81,5792.16,1708.3,7738.31,"No"
"H","CA",31,"RCH CUCAMONGA","REP",641850.52,596046.14,76859.88,585350.52,"No"
"H","MO",4,"COLUMBIA","DEM",202308.53,192132.22,33500,168808.53,"No"
"H","TX",31,"GEORGETOWN","DEM",21422.41,20501.9,3100,18322.41,"No"
"H","CA",3,"ORLAND","REP",376809.01,323762.22,212199.15,164259.01,"No"
"H","UT",1,"NORTH OGDEN","DEM",106911.35,77273.22,1000,106911.35,"No"
"H","NJ",2,"SEWELL","DEM",111372.86,100667.84,39138.53,79529.26,"No"
"H","MN",2,"EAGAN","DEM",3698000.02,3349147.59,975000,2720138.05,"No"
"S","AL",0,"PELHAM","DEM",34440,28980,700,32740,"No"
